date,bond_code,v1_1_pnl_cny,v1_23_pnl_cny,delta_cny,v1_1_fills,v1_23_fills,v1_1_end_inventory_bonds,v1_23_end_inventory_bonds
2026-08-04,132026.SH,10876.92,11799.92,923.00,56,58,0,0
2026-08-04,132024.SH,7338.05,7357.81,19.76,27,29,0,0
2026-08-05,132026.SH,-204.42,389.98,594.40,33,33,0,0
2026-08-05,132024.SH,1093.73,1093.73,0.00,28,28,0,0
2026-08-06,132026.SH,5415.00,5416.00,1.00,15,15,2000,2000
2026-08-06,132024.SH,424.68,424.68,0.00,5,5,1993.655,1993.655
2026-08-07,132026.SH,5313.00,5432.00,119.00,31,33,0,0
2026-08-07,132024.SH,1081.53,1081.53,0.00,21,21,0,0
2026-08-10,132026.SH,281.00,281.00,0.00,5,5,1000,1000
2026-08-10,132024.SH,4676.65,4676.65,0.00,20,20,1000,1000
2026-08-11,132026.SH,1917.50,1966.14,48.64,18,20,1000,1000
2026-08-11,132024.SH,3296.31,4375.35,1079.04,34,34,2000,2000
2026-08-12,132026.SH,4805.16,4894.46,89.30,55,57,1380,1380
2026-08-12,132024.SH,2475.12,2588.36,113.24,34,37,2000,2000
2026-08-13,132026.SH,12225.90,13011.98,786.08,60,66,1000,1000
2026-08-13,132024.SH,4132.86,4534.00,401.14,23,25,2000,2000
2026-08-14,132026.SH,13383.32,18163.72,4780.40,72,86,2000,1000
2026-08-14,132024.SH,10525.04,10525.04,0.00,61,61,2000,2000
