date,bond_code,v1_1_pnl_cny,v1_23_pnl_cny,v1_24_pnl_cny,delta_vs_v1_1_cny,delta_vs_v1_23_cny,v1_1_fills,v1_23_fills,v1_24_fills,v1_1_end_inventory_bonds,v1_23_end_inventory_bonds,v1_24_end_inventory_bonds
2026-08-04,132026.SH,10876.92,11799.92,10023.52,-853.40,-1776.40,56,58,55,0.000,0.000,0.000
2026-08-05,132026.SH,-204.42,389.98,-1270.58,-1066.16,-1660.56,33,33,15,0.000,0.000,0.000
2026-08-06,132026.SH,5415.00,5416.00,5416.00,1.00,0.00,15,15,15,2000.000,2000.000,2000.000
2026-08-07,132026.SH,5313.00,5432.00,8208.00,2895.00,2776.00,31,33,37,0.000,0.000,0.000
2026-08-10,132026.SH,281.00,281.00,281.00,0.00,0.00,5,5,5,1000.000,1000.000,1000.000
2026-08-11,132026.SH,1917.50,1966.14,2149.54,232.04,183.40,18,20,22,1000.000,1000.000,1000.000
2026-08-12,132026.SH,4805.16,4894.46,4575.84,-229.32,-318.62,55,57,52,1380.000,1380.000,380.000
2026-08-13,132026.SH,12225.90,13011.98,12066.84,-159.06,-945.14,60,66,62,1000.000,1000.000,1000.000
2026-08-14,132026.SH,13383.32,18163.72,18606.72,5223.40,443.00,72,86,86,2000.000,1000.000,1000.000
2026-08-04,132024.SH,7338.05,7357.81,7358.81,20.76,1.00,27,29,29,0.000,0.000,0.000
2026-08-05,132024.SH,1093.73,1093.73,1141.96,48.23,48.23,28,28,29,0.000,0.000,0.000
2026-08-06,132024.SH,424.68,424.68,712.85,288.17,288.17,5,5,7,1993.655,1993.655,1995.741
2026-08-07,132024.SH,1081.53,1081.53,2392.52,1310.99,1310.99,21,21,19,0.000,0.000,0.000
2026-08-10,132024.SH,4676.65,4676.65,4676.65,0.00,0.00,20,20,20,1000.000,1000.000,1000.000
2026-08-11,132024.SH,3296.31,4375.35,3741.40,445.09,-633.96,34,34,30,2000.000,2000.000,2000.000
2026-08-12,132024.SH,2475.12,2588.36,2588.36,113.24,0.00,34,37,37,2000.000,2000.000,2000.000
2026-08-13,132024.SH,4132.86,4534.00,5012.00,879.14,478.00,23,25,27,2000.000,2000.000,2000.000
2026-08-14,132024.SH,10525.04,10525.04,10868.04,343.00,343.00,61,61,64,2000.000,2000.000,2000.000
