date,bond_code,v1_27_pnl_cny,v1_28_pnl_cny,delta_cny,v1_27_fills,v1_28_fills,v1_27_end_inventory_bonds,v1_28_end_inventory_bonds,first_path_difference
2026-08-04,132026.SH,10023.52,10023.52,0.00,55,55,0.000,0.000,
2026-08-04,132024.SH,7358.81,7358.81,0.00,29,29,0.000,0.000,
2026-08-05,132026.SH,-1270.58,-1270.58,0.00,15,15,0.000,0.000,
2026-08-05,132024.SH,1141.96,1044.96,-97.00,29,29,0.000,0.000,"11:21拒绝138.296低优势底仓卖出；13:00:51改在138.199卖出并于13:05以138.200近乎平价止错"
2026-08-06,132026.SH,5416.00,5416.00,0.00,15,15,2000.000,2000.000,
2026-08-06,132024.SH,712.85,712.85,0.00,7,7,1995.741,1995.741,
2026-08-07,132026.SH,8208.00,8208.00,0.00,37,37,0.000,0.000,
2026-08-07,132024.SH,2392.52,3028.19,635.67,19,21,0.000,0.000,"13:51:20拒绝140.392低优势底仓卖出；14:50:14改在140.879卖出并增加一轮合理周转"
2026-08-10,132026.SH,1611.88,1611.88,0.00,12,12,1000.000,1000.000,
2026-08-10,132024.SH,4676.65,4676.65,0.00,20,20,1000.000,1000.000,
2026-08-11,132026.SH,2330.12,2330.12,0.00,22,22,1000.000,1000.000,
2026-08-11,132024.SH,3741.40,3741.40,0.00,30,30,2000.000,2000.000,"仅未成交卖单生命周期改变；14:21:31的138.588成交及后续经济路径相同"
2026-08-12,132026.SH,4575.84,4894.46,318.62,52,57,380.000,1380.000,"删除14:45:24在136.788且低于可靠合理价136.899的底仓做空；新增136.602买入至136.958退出"
2026-08-12,132024.SH,2588.36,2588.36,0.00,37,37,2000.000,2000.000,
2026-08-13,132026.SH,12515.84,12515.84,0.00,62,62,1000.000,1000.000,
2026-08-13,132024.SH,5012.00,5012.00,0.00,27,27,2000.000,2000.000,
2026-08-14,132026.SH,18606.72,18606.72,0.00,86,86,1000.000,1000.000,
2026-08-14,132024.SH,10868.04,10868.04,0.00,64,64,2000.000,2000.000,
