market_date,bond_code,model_id,legacy_fixed_cash_pnl_cny,corrected_capacity_pnl_cny,pnl_delta_cny,legacy_fill_records,corrected_fill_records,funding_adjustment_cny,legacy_non_round_10_bond_fill_records,corrected_non_round_10_bond_fill_records
2026-08-04,132026.SH,maker_priority_v1_1,10876.92,10878.46,1.54,56,56,302.00,2,0
2026-08-05,132026.SH,maker_priority_v1_1,-204.42,-204.42,0.00,33,33,0.00,0,0
2026-08-06,132026.SH,maker_priority_v1_1,5415.00,5415.00,0.00,15,15,0.00,0,0
2026-08-07,132026.SH,maker_priority_v1_1,5313.00,5313.00,0.00,31,31,0.00,0,0
2026-08-10,132026.SH,maker_priority_v1_1,281.00,281.00,0.00,5,5,0.00,0,0
2026-08-11,132026.SH,maker_priority_v1_1,1917.50,1917.50,0.00,18,18,0.00,0,0
2026-08-12,132026.SH,maker_priority_v1_1,4805.16,4805.16,0.00,55,55,0.00,0,0
2026-08-13,132026.SH,maker_priority_v1_1,12225.90,12225.90,0.00,60,60,0.00,0,0
2026-08-14,132026.SH,maker_priority_v1_1,13383.32,13383.32,0.00,72,72,0.00,0,0
2026-08-04,132024.SH,maker_priority_v1_1,7338.05,7338.05,0.00,27,27,0.00,0,0
2026-08-05,132024.SH,maker_priority_v1_1,1093.73,1095.03,1.30,28,28,1253.00,4,0
2026-08-06,132024.SH,maker_priority_v1_1,424.68,426.00,1.32,5,5,875.00,3,0
2026-08-07,132024.SH,maker_priority_v1_1,1081.53,1081.53,0.00,21,21,0.00,0,0
2026-08-10,132024.SH,maker_priority_v1_1,4676.65,4679.00,2.35,20,20,935.00,4,0
2026-08-11,132024.SH,maker_priority_v1_1,3296.31,3311.89,15.58,34,34,2233.11,14,0
2026-08-12,132024.SH,maker_priority_v1_1,2475.12,2475.12,0.00,34,34,0.00,0,0
2026-08-13,132024.SH,maker_priority_v1_1,4132.86,4137.86,5.00,23,23,402.00,2,0
2026-08-14,132024.SH,maker_priority_v1_1,10525.04,10525.04,0.00,61,61,0.00,0,0
2026-08-04,132026.SH,maker_priority_v1_29_candidate,10023.52,10025.06,1.54,55,55,302.00,2,0
2026-08-05,132026.SH,maker_priority_v1_29_candidate,-1270.58,-1270.58,0.00,15,15,0.00,0,0
2026-08-06,132026.SH,maker_priority_v1_29_candidate,5416.00,5416.00,0.00,15,15,0.00,0,0
2026-08-07,132026.SH,maker_priority_v1_29_candidate,8208.00,8208.00,0.00,37,37,0.00,0,0
2026-08-10,132026.SH,maker_priority_v1_29_candidate,2111.88,2111.88,0.00,12,12,0.00,0,0
2026-08-11,132026.SH,maker_priority_v1_29_candidate,2330.12,2330.12,0.00,22,22,0.00,0,0
2026-08-12,132026.SH,maker_priority_v1_29_candidate,4894.46,4894.46,0.00,57,57,0.00,0,0
2026-08-13,132026.SH,maker_priority_v1_29_candidate,12515.84,12515.84,0.00,62,62,0.00,0,0
2026-08-14,132026.SH,maker_priority_v1_29_candidate,18606.72,18606.72,0.00,86,86,0.00,0,0
2026-08-04,132024.SH,maker_priority_v1_29_candidate,7358.81,7358.81,0.00,29,29,0.00,0,0
2026-08-05,132024.SH,maker_priority_v1_29_candidate,1044.96,1046.26,1.30,29,29,1253.00,4,0
2026-08-06,132024.SH,maker_priority_v1_29_candidate,712.85,715.00,2.15,7,7,873.00,3,0
2026-08-07,132024.SH,maker_priority_v1_29_candidate,3028.19,3028.19,0.00,21,21,0.00,0,0
2026-08-10,132024.SH,maker_priority_v1_29_candidate,4676.65,4679.00,2.35,20,20,935.00,4,0
2026-08-11,132024.SH,maker_priority_v1_29_candidate,3741.40,3749.70,8.30,30,30,1615.30,10,0
2026-08-12,132024.SH,maker_priority_v1_29_candidate,2588.36,2588.36,0.00,37,37,0.00,0,0
2026-08-13,132024.SH,maker_priority_v1_29_candidate,5012.00,5017.00,5.00,27,27,402.00,2,0
2026-08-14,132024.SH,maker_priority_v1_29_candidate,11497.30,11497.30,0.00,68,68,0.00,0,0
