market_date,bond_code,underlying_stock_code,underlying_stock_ticks,baseline_model_id,baseline_pnl,candidate_model_id,candidate_pnl,pnl_delta,baseline_fills,candidate_fills,baseline_orders,candidate_orders,baseline_ending_inventory,candidate_ending_inventory,baseline_ending_base_short,candidate_ending_base_short
2026-08-04,132026.SH,600900.SH,5261,maker_priority_v1_1,10878.46,maker_priority_v1_30_candidate,10025.06,-853.40,56,55,450,383,0,0,1000,1000
2026-08-05,132026.SH,600900.SH,5272,maker_priority_v1_1,-204.42,maker_priority_v1_30_candidate,-1270.58,-1066.16,33,15,237,253,0,0,1000,1000
2026-08-06,132026.SH,600900.SH,5170,maker_priority_v1_1,5415.00,maker_priority_v1_30_candidate,5416.00,1.00,15,15,195,202,2000,2000,0,0
2026-08-07,132026.SH,600900.SH,5150,maker_priority_v1_1,5313.00,maker_priority_v1_30_candidate,8208.00,2895.00,31,37,283,340,0,0,1000,1000
2026-08-10,132026.SH,600900.SH,5152,maker_priority_v1_1,281.00,maker_priority_v1_30_candidate,2111.88,1830.88,5,12,64,141,1000,1000,0,0
2026-08-11,132026.SH,600900.SH,5125,maker_priority_v1_1,1917.50,maker_priority_v1_30_candidate,2330.12,412.62,18,22,210,212,1000,1000,0,0
2026-08-12,132026.SH,600900.SH,4958,maker_priority_v1_1,4805.16,maker_priority_v1_30_candidate,4894.46,89.30,55,57,433,468,1380,1380,0,0
2026-08-13,132026.SH,600900.SH,5114,maker_priority_v1_1,12225.90,maker_priority_v1_30_candidate,12515.84,289.94,60,62,471,480,1000,1000,0,0
2026-08-14,132026.SH,600900.SH,5041,maker_priority_v1_1,13383.32,maker_priority_v1_30_candidate,18606.72,5223.40,72,86,508,566,2000,1000,0,0
2026-08-04,132024.SH,600362.SH,0,maker_priority_v1_1,7338.05,maker_priority_v1_30_candidate,7358.81,20.76,27,29,316,338,0,0,1000,1000
2026-08-05,132024.SH,600362.SH,0,maker_priority_v1_1,1282.03,maker_priority_v1_30_candidate,1233.26,-48.77,30,31,315,338,0,0,1000,1000
2026-08-06,132024.SH,600362.SH,0,maker_priority_v1_1,426.00,maker_priority_v1_30_candidate,715.00,289.00,5,7,53,59,2000,2000,0,0
2026-08-07,132024.SH,600362.SH,0,maker_priority_v1_1,1081.53,maker_priority_v1_30_candidate,3028.19,1946.66,21,21,175,175,0,0,1000,1000
2026-08-10,132024.SH,600362.SH,0,maker_priority_v1_1,4679.00,maker_priority_v1_30_candidate,4679.00,0.00,20,20,212,211,1000,1000,0,0
2026-08-11,132024.SH,600362.SH,0,maker_priority_v1_1,3311.89,maker_priority_v1_30_candidate,3749.70,437.81,34,30,400,331,2000,2000,0,0
2026-08-12,132024.SH,600362.SH,0,maker_priority_v1_1,2475.12,maker_priority_v1_30_candidate,2588.36,113.24,34,37,363,390,2000,2000,0,0
2026-08-13,132024.SH,600362.SH,0,maker_priority_v1_1,4137.86,maker_priority_v1_30_candidate,5017.00,879.14,23,27,329,345,2000,2000,0,0
2026-08-14,132024.SH,600362.SH,0,maker_priority_v1_1,10525.04,maker_priority_v1_30_candidate,11497.30,972.26,61,68,456,470,2000,2000,0,0
