turn_id,market_date,code,direction,best_open_time,best_open_price,best_close_time,best_close_price,maximum_edge,maximum_matchable_hands,best_pair_tape_capacity_bonds,expected_open_side,expected_close_side,strategy_id,fill_mode,model_id,initial_inventory_bonds,maximum_inventory_bonds,inventory_before_open_strict_bonds,inventory_after_open_second_bonds,cash_before_open_strict,cash_after_open_second,opening_action_capacity_strict_bonds,opening_action_capacity_including_same_second_bonds,opening_action_capacity_low_bonds,opening_action_capacity_high_bonds,standard_or_tape_required_bonds,active_reaching_open_order_count,preexisting_reaching_open_order_count,active_reaching_open_orders,exact_capture_status,matching_open_fills,matching_close_fills,economic_pair_within_turn,economic_pair_nearby_120s,economic_pair_cross_turn_600s,preliminary_status,causal_mode_in_status,final_capture_class
2026-08-13_132026.SH_T001,2026-08-13,132026.SH,sell_then_buy,09:30:18,137.95,09:51:34,135.199,2.751,200,1000,sell,buy,maker_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,1000.0,1000.0,136800.0,136800.0,1000,1000,1000,1000,1000,1,0,"[{""order_id"": 8, ""kind"": ""inventory_exit"", ""limit_price"": 137.947, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 1000.0, ""created_market_time"": ""09:30:18"", ""updated_market_time"": ""09:30:21"", ""status"": ""filled"", ""cancel_reason"": null, ""initial_queue_ahead_bonds"": 0.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": true}]",best_pair_both_legs_matched,"[{""order_id"": 8, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""09:30:21"", ""side"": ""sell"", ""price"": 137.947, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_sell"", ""inventory_after_bonds"": 0.0, ""reference_tick_id"": 66147, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]","[{""order_id"": 34, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""09:51:30"", ""side"": ""buy"", ""price"": 135.2, ""quantity_bonds"": 1000.0, ""fill_reason"": ""active_deep_discount"", ""inventory_after_bonds"": 1000.0, ""reference_tick_id"": 67154, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]","{""open_time"": ""09:30:21"", ""open_price"": 137.947, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:51:30"", ""close_price"": 135.2, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 2.747, ""gross_edge_cash"": 2747.0}","{""open_time"": ""09:30:21"", ""open_price"": 137.947, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:51:42"", ""close_price"": 135.115, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 2.832, ""gross_edge_cash"": 2832.0}","{""open_time"": ""09:30:21"", ""open_price"": 137.947, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:51:42"", ""close_price"": 135.115, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 2.832, ""gross_edge_cash"": 2832.0}",exact_best_pair_capture,unreviewed,unreviewed
2026-08-13_132026.SH_T001,2026-08-13,132026.SH,sell_then_buy,09:30:18,137.95,09:51:34,135.199,2.751,200,1000,sell,buy,maker_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,1000.0,1000.0,136800.0,136800.0,1000,1000,1000,1000,1000,1,0,"[{""order_id"": 9, ""kind"": ""inventory_exit"", ""limit_price"": 137.948, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 1000.0, ""created_market_time"": ""09:30:18"", ""updated_market_time"": ""09:30:21"", ""status"": ""filled"", ""cancel_reason"": null, ""initial_queue_ahead_bonds"": 380.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": true}]",best_pair_both_legs_matched,"[{""order_id"": 9, ""strategy_id"": ""maker_v01_queue"", ""model_id"": ""maker_queue_v1_0"", ""market_time"": ""09:30:21"", ""side"": ""sell"", ""price"": 137.948, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_sell"", ""inventory_after_bonds"": 0.0, ""reference_tick_id"": 66147, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]","[{""order_id"": 35, ""strategy_id"": ""maker_v01_queue"", ""model_id"": ""maker_queue_v1_0"", ""market_time"": ""09:51:30"", ""side"": ""buy"", ""price"": 135.2, ""quantity_bonds"": 1000.0, ""fill_reason"": ""active_deep_discount"", ""inventory_after_bonds"": 1000.0, ""reference_tick_id"": 67154, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]","{""open_time"": ""09:30:21"", ""open_price"": 137.948, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:51:30"", ""close_price"": 135.2, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 2.748, ""gross_edge_cash"": 2748.0}","{""open_time"": ""09:30:21"", ""open_price"": 137.948, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:51:45"", ""close_price"": 135.114, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 2.834, ""gross_edge_cash"": 2834.0}","{""open_time"": ""09:30:21"", ""open_price"": 137.948, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:51:45"", ""close_price"": 135.114, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 2.834, ""gross_edge_cash"": 2834.0}",exact_best_pair_capture,unreviewed,unreviewed
2026-08-13_132026.SH_T002,2026-08-13,132026.SH,buy_then_sell,09:51:34,135.199,09:51:34,135.2,0.001,100,1000,buy,sell,maker_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,1000.0,1000.0,139547.0,139547.0,1000,1000,1000,1000,1000,0,0,[],best_pair_open_leg_matched_only,"[{""order_id"": 34, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""09:51:30"", ""side"": ""buy"", ""price"": 135.2, ""quantity_bonds"": 1000.0, ""fill_reason"": ""active_deep_discount"", ""inventory_after_bonds"": 1000.0, ""reference_tick_id"": 67154, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]",[],null,"{""open_time"": ""09:51:30"", ""open_price"": 135.2, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:51:54"", ""close_price"": 137.283, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 2.083, ""gross_edge_cash"": 2083.0}","{""open_time"": ""09:51:30"", ""open_price"": 135.2, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:51:54"", ""close_price"": 137.283, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 2.083, ""gross_edge_cash"": 2083.0}",economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed
2026-08-13_132026.SH_T002,2026-08-13,132026.SH,buy_then_sell,09:51:34,135.199,09:51:34,135.2,0.001,100,1000,buy,sell,maker_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,1000.0,1000.0,139548.0,139548.0,1000,1000,1000,1000,1000,0,0,[],best_pair_open_leg_matched_only,"[{""order_id"": 35, ""strategy_id"": ""maker_v01_queue"", ""model_id"": ""maker_queue_v1_0"", ""market_time"": ""09:51:30"", ""side"": ""buy"", ""price"": 135.2, ""quantity_bonds"": 1000.0, ""fill_reason"": ""active_deep_discount"", ""inventory_after_bonds"": 1000.0, ""reference_tick_id"": 67154, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]",[],null,null,null,causal_mode_in_review_required,unreviewed,unreviewed
2026-08-13_132026.SH_T003,2026-08-13,132026.SH,sell_then_buy,09:51:34,135.2,09:51:46,135.113,0.087,100,1000,sell,buy,maker_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,1000.0,1000.0,139547.0,139547.0,1000,1000,1000,1000,1000,0,0,[],best_pair_close_leg_matched_only,[],"[{""order_id"": 42, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""09:51:42"", ""side"": ""buy"", ""price"": 135.115, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_buy"", ""inventory_after_bonds"": 2000.0, ""reference_tick_id"": 67165, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]",null,null,null,causal_mode_in_review_required,unreviewed,unreviewed
2026-08-13_132026.SH_T003,2026-08-13,132026.SH,sell_then_buy,09:51:34,135.2,09:51:46,135.113,0.087,100,1000,sell,buy,maker_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,1000.0,1000.0,139548.0,139548.0,1000,1000,1000,1000,1000,0,0,[],best_pair_close_leg_matched_only,[],"[{""order_id"": 49, ""strategy_id"": ""maker_v01_queue"", ""model_id"": ""maker_queue_v1_0"", ""market_time"": ""09:51:45"", ""side"": ""buy"", ""price"": 135.114, ""quantity_bonds"": 1000.0, ""fill_reason"": ""active_deep_discount"", ""inventory_after_bonds"": 2000.0, ""reference_tick_id"": 67167, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]",null,null,null,causal_mode_in_review_required,unreviewed,unreviewed
2026-08-13_132026.SH_T004,2026-08-13,132026.SH,buy_then_sell,09:51:46,135.113,09:51:51,137.283,2.17,200,1000,buy,sell,maker_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,2000.0,2000.0,4432.0,4432.0,0,0,0,0,1000,0,0,[],best_pair_both_legs_matched,"[{""order_id"": 42, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""09:51:42"", ""side"": ""buy"", ""price"": 135.115, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_buy"", ""inventory_after_bonds"": 2000.0, ""reference_tick_id"": 67165, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]","[{""order_id"": 50, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""09:51:54"", ""side"": ""sell"", ""price"": 137.283, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_sell"", ""inventory_after_bonds"": 1000.0, ""reference_tick_id"": 67175, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]","{""open_time"": ""09:51:42"", ""open_price"": 135.115, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:51:54"", ""close_price"": 137.283, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 2.168, ""gross_edge_cash"": 2168.0}","{""open_time"": ""09:51:42"", ""open_price"": 135.115, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:51:54"", ""close_price"": 137.283, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 2.168, ""gross_edge_cash"": 2168.0}","{""open_time"": ""09:51:42"", ""open_price"": 135.115, ""open_quantity_bonds"": 1000.0, ""close_time"": ""10:05:42"", ""close_price"": 137.295, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 2.18, ""gross_edge_cash"": 2180.0}",exact_best_pair_capture,unreviewed,unreviewed
2026-08-13_132026.SH_T004,2026-08-13,132026.SH,buy_then_sell,09:51:46,135.113,09:51:51,137.283,2.17,200,1000,buy,sell,maker_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,2000.0,2000.0,4434.0,4434.0,0,0,0,0,1000,0,0,[],best_pair_open_leg_matched_only,"[{""order_id"": 49, ""strategy_id"": ""maker_v01_queue"", ""model_id"": ""maker_queue_v1_0"", ""market_time"": ""09:51:45"", ""side"": ""buy"", ""price"": 135.114, ""quantity_bonds"": 1000.0, ""fill_reason"": ""active_deep_discount"", ""inventory_after_bonds"": 2000.0, ""reference_tick_id"": 67167, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]",[],null,null,"{""open_time"": ""09:51:45"", ""open_price"": 135.114, ""open_quantity_bonds"": 1000.0, ""close_time"": ""10:07:06"", ""close_price"": 137.289, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 2.175, ""gross_edge_cash"": 2175.0}",economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed
2026-08-13_132026.SH_T005,2026-08-13,132026.SH,sell_then_buy,09:51:51,137.283,09:58:38,135.801,1.482,100,1000,sell,buy,maker_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,2000.0,2000.0,4432.0,4432.0,2000,2000,2000,2000,1000,1,1,"[{""order_id"": 50, ""kind"": ""inventory_exit"", ""limit_price"": 137.283, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 1000.0, ""created_market_time"": ""09:51:48"", ""updated_market_time"": ""09:51:54"", ""status"": ""filled"", ""cancel_reason"": null, ""initial_queue_ahead_bonds"": 0.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": false}]",best_pair_both_legs_matched,"[{""order_id"": 50, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""09:51:54"", ""side"": ""sell"", ""price"": 137.283, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_sell"", ""inventory_after_bonds"": 1000.0, ""reference_tick_id"": 67175, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]","[{""order_id"": 139, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""09:58:39"", ""side"": ""buy"", ""price"": 135.802, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_buy"", ""inventory_after_bonds"": 2000.0, ""reference_tick_id"": 67490, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]",null,"{""open_time"": ""09:51:54"", ""open_price"": 137.283, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:58:39"", ""close_price"": 135.802, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 1.481, ""gross_edge_cash"": 1481.0}","{""open_time"": ""09:51:54"", ""open_price"": 137.283, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:58:39"", ""close_price"": 135.802, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 1.481, ""gross_edge_cash"": 1481.0}",exact_best_pair_capture,unreviewed,unreviewed
2026-08-13_132026.SH_T005,2026-08-13,132026.SH,sell_then_buy,09:51:51,137.283,09:58:38,135.801,1.482,100,1000,sell,buy,maker_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,2000.0,2000.0,4434.0,4434.0,2000,2000,2000,2000,1000,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,causal_mode_in_review_required,unreviewed,unreviewed
