turn_id,strategy_id,model_id,direction,maximum_edge,best_open_time,best_open_price,best_close_time,best_close_price,preliminary_status,causal_mode_in_status,final_capture_class,causal_reason,review_notes
2026-08-13_132026.SH_T001,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,2.751,09:30:18,137.95,09:51:34,135.199,exact_best_pair_capture,unreviewed,unreviewed,,
2026-08-13_132026.SH_T001,maker_v01_queue,maker_queue_v1_0,sell_then_buy,2.751,09:30:18,137.95,09:51:34,135.199,exact_best_pair_capture,unreviewed,unreviewed,,
2026-08-13_132026.SH_T002,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.001,09:51:34,135.199,09:51:34,135.2,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T002,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.001,09:51:34,135.199,09:51:34,135.2,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T003,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.087,09:51:34,135.2,09:51:46,135.113,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T003,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.087,09:51:34,135.2,09:51:46,135.113,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T004,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,2.17,09:51:46,135.113,09:51:51,137.283,exact_best_pair_capture,unreviewed,unreviewed,,
2026-08-13_132026.SH_T004,maker_v01_queue,maker_queue_v1_0,buy_then_sell,2.17,09:51:46,135.113,09:51:51,137.283,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T005,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,1.482,09:51:51,137.283,09:58:38,135.801,exact_best_pair_capture,unreviewed,unreviewed,,
2026-08-13_132026.SH_T005,maker_v01_queue,maker_queue_v1_0,sell_then_buy,1.482,09:51:51,137.283,09:58:38,135.801,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T006,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.782,09:58:38,135.801,10:05:34,136.583,exact_best_pair_capture,unreviewed,unreviewed,,
2026-08-13_132026.SH_T006,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.782,09:58:38,135.801,10:05:34,136.583,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T007,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.713,10:05:34,136.583,10:05:41,137.296,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T007,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.713,10:05:34,136.583,10:05:41,137.296,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-13_132026.SH_T008,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.006,10:05:41,137.296,10:07:11,137.29,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T008,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.006,10:05:41,137.296,10:07:11,137.29,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T009,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.008,10:07:11,137.29,10:07:34,137.298,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T009,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.008,10:07:11,137.29,10:07:34,137.298,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T010,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,1.297,10:07:34,137.298,10:07:34,136.001,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T010,maker_v01_queue,maker_queue_v1_0,sell_then_buy,1.297,10:07:34,137.298,10:07:34,136.001,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T011,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,1.286,10:07:34,136.001,10:07:41,137.287,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T011,maker_v01_queue,maker_queue_v1_0,buy_then_sell,1.286,10:07:34,136.001,10:07:41,137.287,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-13_132026.SH_T012,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,1.286,10:07:41,137.287,10:07:47,136.001,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T012,maker_v01_queue,maker_queue_v1_0,sell_then_buy,1.286,10:07:41,137.287,10:07:47,136.001,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T013,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.198,10:07:47,136.001,10:07:47,136.199,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T013,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.198,10:07:47,136.001,10:07:47,136.199,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T014,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,1.083,10:07:48,136.21,10:07:54,137.293,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T014,maker_v01_queue,maker_queue_v1_0,buy_then_sell,1.083,10:07:48,136.21,10:07:54,137.293,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T015,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.002,10:07:54,137.293,10:08:48,137.291,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T015,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.002,10:07:54,137.293,10:08:48,137.291,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T016,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.506,10:08:48,137.291,10:09:22,137.797,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T016,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.506,10:08:48,137.291,10:09:22,137.797,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T017,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.503,10:09:22,137.797,10:09:26,137.294,exact_best_pair_capture,unreviewed,unreviewed,,
2026-08-13_132026.SH_T017,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.503,10:09:22,137.797,10:09:26,137.294,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T018,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.504,10:09:30,137.294,10:09:34,137.798,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T018,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.504,10:09:30,137.294,10:09:34,137.798,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T019,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.798,10:09:34,137.798,10:10:18,137.0,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T019,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.798,10:09:34,137.798,10:10:18,137.0,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T020,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.795,10:10:18,137.0,10:10:36,137.795,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T020,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.795,10:10:18,137.0,10:10:36,137.795,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T021,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.015,10:11:05,137.792,10:13:06,137.777,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T021,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.015,10:11:05,137.792,10:13:06,137.777,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T022,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.577,10:13:09,137.777,10:17:11,137.2,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T022,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.577,10:13:09,137.777,10:17:11,137.2,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T023,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.46,10:17:11,137.2,10:17:35,137.66,economic_pair_within_turn_needs_overlap_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T023,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.46,10:17:11,137.2,10:17:35,137.66,economic_pair_within_turn_needs_overlap_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T024,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.001,10:17:35,137.66,10:19:12,137.659,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-13_132026.SH_T024,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.001,10:17:35,137.66,10:19:12,137.659,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-13_132026.SH_T025,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.001,10:19:12,137.659,10:19:35,137.66,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T025,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.001,10:19:12,137.659,10:19:35,137.66,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T026,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.121,10:19:35,137.66,10:25:36,137.539,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T026,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.121,10:19:35,137.66,10:25:36,137.539,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T027,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.111,10:25:36,137.539,10:26:02,137.65,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T027,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.111,10:25:36,137.539,10:26:02,137.65,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T028,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.136,10:26:02,137.65,10:27:46,137.514,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T028,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.136,10:26:02,137.65,10:27:46,137.514,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T029,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.042,10:28:21,137.511,10:29:13,137.469,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T029,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.042,10:28:21,137.511,10:29:13,137.469,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T030,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.259,10:30:46,137.419,10:37:22,137.16,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T030,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.259,10:30:46,137.419,10:37:22,137.16,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T031,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,1.001,10:37:22,137.16,10:37:28,136.159,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T031,maker_v01_queue,maker_queue_v1_0,sell_then_buy,1.001,10:37:22,137.16,10:37:28,136.159,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T032,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.893,10:37:28,136.159,10:39:51,137.052,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T032,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.893,10:37:28,136.159,10:39:51,137.052,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-13_132026.SH_T033,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.332,10:39:51,137.052,10:41:19,136.72,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T033,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.332,10:39:51,137.052,10:41:19,136.72,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T034,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.001,10:41:19,136.72,10:41:19,136.721,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T034,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.001,10:41:19,136.72,10:41:19,136.721,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-13_132026.SH_T035,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.02,10:41:19,136.721,10:41:46,136.701,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T035,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.02,10:41:19,136.721,10:41:46,136.701,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T036,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.348,10:41:46,136.701,10:41:55,137.049,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T036,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.348,10:41:46,136.701,10:41:55,137.049,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-13_132026.SH_T037,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.347,10:41:55,137.049,10:43:41,136.702,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T037,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.347,10:41:55,137.049,10:43:41,136.702,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T038,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.343,10:43:41,136.702,10:45:11,137.045,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T038,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.343,10:43:41,136.702,10:45:11,137.045,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-13_132026.SH_T039,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.341,10:45:11,137.045,10:45:35,136.704,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T039,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.341,10:45:11,137.045,10:45:35,136.704,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-13_132026.SH_T040,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.341,10:45:35,136.704,10:47:04,137.045,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-13_132026.SH_T040,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.341,10:45:35,136.704,10:47:04,137.045,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
