turn_id,strategy_id,model_id,direction,maximum_edge,best_open_time,best_open_price,best_close_time,best_close_price,preliminary_status,causal_mode_in_status,final_capture_class,causal_reason,review_notes
2026-08-14_132026.SH_T001,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.579,09:31:51,137.479,09:37:19,136.9,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132026.SH_T001,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.579,09:31:51,137.479,09:37:19,136.9,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-14_132026.SH_T002,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.897,09:37:30,136.9,09:40:57,136.003,economic_pair_within_turn_needs_overlap_review,unreviewed,unreviewed,,
2026-08-14_132026.SH_T002,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.897,09:37:30,136.9,09:40:57,136.003,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132026.SH_T003,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.597,09:40:57,136.003,09:47:50,136.6,exact_best_pair_capture,unreviewed,unreviewed,,
2026-08-14_132026.SH_T003,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.597,09:40:57,136.003,09:47:50,136.6,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-14_132026.SH_T004,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.119,09:47:50,136.6,09:48:13,136.481,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132026.SH_T004,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.119,09:47:50,136.6,09:48:13,136.481,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132026.SH_T005,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.262,09:55:15,136.363,09:56:05,136.101,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132026.SH_T005,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.262,09:55:15,136.363,09:56:05,136.101,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132026.SH_T006,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.578,09:56:05,136.101,09:59:04,136.679,exact_best_pair_capture,unreviewed,unreviewed,,
2026-08-14_132026.SH_T006,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.578,09:56:05,136.101,09:59:04,136.679,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132026.SH_T007,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.079,09:59:04,136.679,10:02:19,136.6,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-14_132026.SH_T007,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.079,09:59:04,136.679,10:02:19,136.6,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132026.SH_T008,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.399,10:02:19,136.6,10:04:12,136.999,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132026.SH_T008,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.399,10:02:19,136.6,10:04:12,136.999,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132026.SH_T009,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.431,10:04:12,136.999,10:10:26,136.568,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132026.SH_T009,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.431,10:04:12,136.999,10:10:26,136.568,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-14_132026.SH_T010,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.231,10:10:26,136.568,10:14:17,136.799,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132026.SH_T010,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.231,10:10:26,136.568,10:14:17,136.799,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132026.SH_T011,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.208,10:14:17,136.799,10:15:03,136.591,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132026.SH_T011,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.208,10:14:17,136.799,10:15:03,136.591,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-14_132026.SH_T012,maker_v01_priority,maker_priority_v1_33_candidate,buy_then_sell,0.084,10:15:03,136.591,10:15:09,136.675,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132026.SH_T012,maker_v01_queue,maker_queue_v1_0,buy_then_sell,0.084,10:15:03,136.591,10:15:09,136.675,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132026.SH_T013,maker_v01_priority,maker_priority_v1_33_candidate,sell_then_buy,0.003,10:15:09,136.675,10:15:19,136.672,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132026.SH_T013,maker_v01_queue,maker_queue_v1_0,sell_then_buy,0.003,10:15:09,136.675,10:15:19,136.672,causal_mode_in_review_required,unreviewed,unreviewed,,
