turn_id,market_date,code,direction,best_open_time,best_open_price,best_close_time,best_close_price,maximum_edge,maximum_matchable_hands,best_pair_tape_capacity_bonds,expected_open_side,expected_close_side,strategy_id,fill_mode,model_id,initial_inventory_bonds,maximum_inventory_bonds,inventory_before_open_strict_bonds,inventory_after_open_second_bonds,cash_before_open_strict,cash_after_open_second,opening_action_capacity_strict_bonds,opening_action_capacity_including_same_second_bonds,opening_action_capacity_low_bonds,opening_action_capacity_high_bonds,standard_or_tape_required_bonds,active_reaching_open_order_count,preexisting_reaching_open_order_count,active_reaching_open_orders,exact_capture_status,matching_open_fills,matching_close_fills,economic_pair_within_turn,economic_pair_nearby_120s,economic_pair_cross_turn_600s,preliminary_status,causal_mode_in_status,final_capture_class
2026-08-14_132024.SH_T001,2026-08-14,132024.SH,sell_then_buy,09:31:51,137.268,09:35:13,135.3,1.968,100,1000,sell,buy,maker_132024_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,1000.0,1000.0,136800.0,136800.0,1000,1000,1000,1000,1000,1,1,"[{""order_id"": 46, ""kind"": ""inventory_exit"", ""limit_price"": 137.267, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 1000.0, ""created_market_time"": ""09:31:14"", ""updated_market_time"": ""09:31:53"", ""status"": ""filled"", ""cancel_reason"": null, ""initial_queue_ahead_bonds"": 0.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": false}]",best_pair_open_leg_matched_only,"[{""order_id"": 46, ""strategy_id"": ""maker_132024_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""09:31:53"", ""side"": ""sell"", ""price"": 137.267, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_sell"", ""inventory_after_bonds"": 0.0, ""reference_tick_id"": 77202, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]",[],"{""open_time"": ""09:31:53"", ""open_price"": 137.267, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:35:02"", ""close_price"": 135.302, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 1.965, ""gross_edge_cash"": 1965.0}","{""open_time"": ""09:31:53"", ""open_price"": 137.267, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:35:02"", ""close_price"": 135.302, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 1.965, ""gross_edge_cash"": 1965.0}","{""open_time"": ""09:31:53"", ""open_price"": 137.267, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:35:02"", ""close_price"": 135.302, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 1.965, ""gross_edge_cash"": 1965.0}",economic_pair_within_turn_needs_overlap_review,unreviewed,unreviewed
2026-08-14_132024.SH_T001,2026-08-14,132024.SH,sell_then_buy,09:31:51,137.268,09:35:13,135.3,1.968,100,1000,sell,buy,maker_132024_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,1000.0,1000.0,136800.0,136800.0,1000,1000,1000,1000,1000,1,1,"[{""order_id"": 47, ""kind"": ""inventory_exit"", ""limit_price"": 137.268, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 0.0, ""created_market_time"": ""09:31:14"", ""updated_market_time"": ""09:31:56"", ""status"": ""cancelled"", ""cancel_reason"": ""maker_reprice"", ""initial_queue_ahead_bonds"": 2000.0, ""final_queue_ahead_bonds"": 1000.0, ""created_same_second_as_tape"": false}]",not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed
2026-08-14_132024.SH_T002,2026-08-14,132024.SH,buy_then_sell,09:35:13,135.3,09:44:07,135.65,0.35,181,810,buy,sell,maker_132024_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,1000.0,1000.0,138765.0,138765.0,1000,1000,1000,1000,810,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,"{""open_time"": ""09:35:02"", ""open_price"": 135.302, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:44:08"", ""close_price"": 135.629, ""close_quantity_bonds"": 190.0, ""matched_quantity_bonds"": 190.0, ""edge"": 0.327, ""gross_edge_cash"": 62.13}","{""open_time"": ""09:35:02"", ""open_price"": 135.302, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:54:05"", ""close_price"": 136.613, ""close_quantity_bonds"": 810.0, ""matched_quantity_bonds"": 810.0, ""edge"": 1.311, ""gross_edge_cash"": 1061.91}",economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed
2026-08-14_132024.SH_T002,2026-08-14,132024.SH,buy_then_sell,09:35:13,135.3,09:44:07,135.65,0.35,181,810,buy,sell,maker_132024_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,2000.0,2000.0,1499.0,1499.0,0,0,0,0,810,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed
2026-08-14_132024.SH_T003,2026-08-14,132024.SH,sell_then_buy,09:44:07,135.65,09:45:17,135.551,0.099,157,810,sell,buy,maker_132024_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,1190.0,1190.0,113057.62,113057.62,1190,1190,1190,1190,810,1,1,"[{""order_id"": 92, ""kind"": ""inventory_exit"", ""limit_price"": 135.629, ""quantity_bonds"": 190.0, ""filled_quantity_bonds"": 190.0, ""created_market_time"": ""09:43:02"", ""updated_market_time"": ""09:44:08"", ""status"": ""filled"", ""cancel_reason"": null, ""initial_queue_ahead_bonds"": 0.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": false}]",not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed
2026-08-14_132024.SH_T003,2026-08-14,132024.SH,sell_then_buy,09:44:07,135.65,09:45:17,135.551,0.099,157,810,sell,buy,maker_132024_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,2000.0,2000.0,1499.0,1499.0,2000,2000,2000,2000,810,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,causal_mode_in_review_required,unreviewed,unreviewed
2026-08-14_132024.SH_T004,2026-08-14,132024.SH,buy_then_sell,09:45:17,135.551,09:51:41,135.926,0.375,19,190,buy,sell,maker_132024_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,1000.0,1000.0,138827.13,138827.13,1000,1000,1000,1000,190,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,"{""open_time"": ""09:41:14"", ""open_price"": 135.302, ""open_quantity_bonds"": 190.0, ""close_time"": ""09:54:08"", ""close_price"": 136.995, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 190.0, ""edge"": 1.693, ""gross_edge_cash"": 321.67}",economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed
2026-08-14_132024.SH_T004,2026-08-14,132024.SH,buy_then_sell,09:45:17,135.551,09:51:41,135.926,0.375,19,190,buy,sell,maker_132024_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,2000.0,2000.0,1499.0,1499.0,0,0,0,0,190,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed
2026-08-14_132024.SH_T005,2026-08-14,132024.SH,buy_then_sell,09:52:05,135.927,09:54:05,136.996,1.069,100,1000,buy,sell,maker_132024_v01_priority,priority,maker_priority_v1_33_candidate,1000.0,2000.0,1000.0,2000.0,138827.13,2899.13,1000,0,0,1000,1000,1,1,"[{""order_id"": 97, ""kind"": ""low_bid_reversion"", ""limit_price"": 135.928, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 1000.0, ""created_market_time"": ""09:51:44"", ""updated_market_time"": ""09:52:05"", ""status"": ""filled"", ""cancel_reason"": null, ""initial_queue_ahead_bonds"": 0.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": false}]",best_pair_both_legs_matched,"[{""order_id"": 97, ""strategy_id"": ""maker_132024_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""09:52:05"", ""side"": ""buy"", ""price"": 135.928, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_buy"", ""inventory_after_bonds"": 2000.0, ""reference_tick_id"": 76083, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]","[{""order_id"": 101, ""strategy_id"": ""maker_132024_v01_priority"", ""model_id"": ""maker_priority_v1_33_candidate"", ""market_time"": ""09:54:08"", ""side"": ""sell"", ""price"": 136.995, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_sell"", ""inventory_after_bonds"": 0.0, ""reference_tick_id"": 76165, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]","{""open_time"": ""09:52:05"", ""open_price"": 135.928, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:54:05"", ""close_price"": 136.613, ""close_quantity_bonds"": 810.0, ""matched_quantity_bonds"": 810.0, ""edge"": 0.685, ""gross_edge_cash"": 554.85}","{""open_time"": ""09:52:05"", ""open_price"": 135.928, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:54:08"", ""close_price"": 136.995, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 1.067, ""gross_edge_cash"": 1067.0}","{""open_time"": ""09:52:05"", ""open_price"": 135.928, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:54:08"", ""close_price"": 136.995, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 1.067, ""gross_edge_cash"": 1067.0}",exact_best_pair_capture,unreviewed,unreviewed
2026-08-14_132024.SH_T005,2026-08-14,132024.SH,buy_then_sell,09:52:05,135.927,09:54:05,136.996,1.069,100,1000,buy,sell,maker_132024_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,2000.0,2000.0,1499.0,1499.0,0,0,0,0,1000,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed
