turn_id,strategy_id,model_id,direction,maximum_edge,best_open_time,best_open_price,best_close_time,best_close_price,preliminary_status,causal_mode_in_status,final_capture_class,causal_reason,review_notes
2026-08-14_132024.SH_T001,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,1.968,09:31:51,137.268,09:35:13,135.3,economic_pair_within_turn_needs_overlap_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T001,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,1.968,09:31:51,137.268,09:35:13,135.3,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-14_132024.SH_T002,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,0.35,09:35:13,135.3,09:44:07,135.65,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T002,maker_132024_v01_queue,maker_queue_v1_0,buy_then_sell,0.35,09:35:13,135.3,09:44:07,135.65,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132024.SH_T003,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.099,09:44:07,135.65,09:45:17,135.551,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-14_132024.SH_T003,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.099,09:44:07,135.65,09:45:17,135.551,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T004,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,0.375,09:45:17,135.551,09:51:41,135.926,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T004,maker_132024_v01_queue,maker_queue_v1_0,buy_then_sell,0.375,09:45:17,135.551,09:51:41,135.926,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132024.SH_T005,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,1.069,09:52:05,135.927,09:54:05,136.996,exact_best_pair_capture,unreviewed,unreviewed,,
2026-08-14_132024.SH_T005,maker_132024_v01_queue,maker_queue_v1_0,buy_then_sell,1.069,09:52:05,135.927,09:54:05,136.996,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132024.SH_T006,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.384,09:54:05,136.996,09:54:20,136.612,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T006,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.384,09:54:05,136.996,09:54:20,136.612,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-14_132024.SH_T007,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.398,09:56:17,136.599,09:56:20,136.201,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T007,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.398,09:56:17,136.599,09:56:20,136.201,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-14_132024.SH_T008,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,0.755,09:56:20,136.201,09:58:54,136.956,exact_best_pair_capture,unreviewed,unreviewed,,
2026-08-14_132024.SH_T008,maker_132024_v01_queue,maker_queue_v1_0,buy_then_sell,0.755,09:56:20,136.201,09:58:54,136.956,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132024.SH_T009,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.945,09:58:54,136.956,09:59:52,136.011,exact_best_pair_capture,unreviewed,unreviewed,,
2026-08-14_132024.SH_T009,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.945,09:58:54,136.956,09:59:52,136.011,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T010,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,0.488,09:59:52,136.011,10:06:23,136.499,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T010,maker_132024_v01_queue,maker_queue_v1_0,buy_then_sell,0.488,09:59:52,136.011,10:06:23,136.499,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132024.SH_T011,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.288,10:06:23,136.499,10:07:33,136.211,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T011,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.288,10:06:23,136.499,10:07:33,136.211,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-14_132024.SH_T012,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,0.461,10:07:33,136.211,10:11:05,136.672,economic_pair_within_turn_needs_overlap_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T012,maker_132024_v01_queue,maker_queue_v1_0,buy_then_sell,0.461,10:07:33,136.211,10:11:05,136.672,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T013,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.272,10:11:05,136.672,10:13:46,136.4,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T013,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.272,10:11:05,136.672,10:13:46,136.4,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T014,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,0.1,10:13:46,136.4,10:13:57,136.5,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T014,maker_132024_v01_queue,maker_queue_v1_0,buy_then_sell,0.1,10:13:46,136.4,10:13:57,136.5,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T015,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.3,10:13:57,136.5,10:14:21,136.2,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T015,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.3,10:13:57,136.5,10:14:21,136.2,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T016,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,0.5,10:14:21,136.2,10:21:04,136.7,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T016,maker_132024_v01_queue,maker_queue_v1_0,buy_then_sell,0.5,10:14:21,136.2,10:21:04,136.7,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T017,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.199,10:21:04,136.7,10:21:06,136.501,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T017,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.199,10:21:04,136.7,10:21:06,136.501,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T018,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,0.299,10:21:06,136.501,10:21:07,136.8,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T018,maker_132024_v01_queue,maker_queue_v1_0,buy_then_sell,0.299,10:21:06,136.501,10:21:07,136.8,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T019,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.298,10:21:07,136.8,10:21:10,136.502,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T019,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.298,10:21:07,136.8,10:21:10,136.502,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-14_132024.SH_T020,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,0.296,10:21:10,136.502,10:21:52,136.798,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T020,maker_132024_v01_queue,maker_queue_v1_0,buy_then_sell,0.296,10:21:10,136.502,10:21:52,136.798,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-14_132024.SH_T021,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.247,10:21:52,136.798,10:22:06,136.551,exact_best_pair_capture,unreviewed,unreviewed,,
2026-08-14_132024.SH_T021,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.247,10:21:52,136.798,10:22:06,136.551,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132024.SH_T022,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,0.148,10:22:06,136.551,10:22:25,136.699,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T022,maker_132024_v01_queue,maker_queue_v1_0,buy_then_sell,0.148,10:22:06,136.551,10:22:25,136.699,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-14_132024.SH_T023,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.199,10:22:25,136.699,10:22:29,136.5,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T023,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.199,10:22:25,136.699,10:22:29,136.5,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132024.SH_T024,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,0.797,10:22:29,136.5,10:27:47,137.297,economic_pair_nearby_needs_cross_turn_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T024,maker_132024_v01_queue,maker_queue_v1_0,buy_then_sell,0.797,10:22:29,136.5,10:27:47,137.297,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-14_132024.SH_T025,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.297,10:27:47,137.297,10:30:45,137.0,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T025,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.297,10:27:47,137.297,10:30:45,137.0,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132024.SH_T026,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.001,10:30:59,137.0,10:30:59,136.999,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T026,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.001,10:30:59,137.0,10:30:59,136.999,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132024.SH_T027,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,0.001,10:30:59,136.999,10:31:15,137.0,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T027,maker_132024_v01_queue,maker_queue_v1_0,buy_then_sell,0.001,10:30:59,136.999,10:31:15,137.0,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T028,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.449,10:31:15,137.0,10:37:27,136.551,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T028,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.449,10:31:15,137.0,10:37:27,136.551,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132024.SH_T029,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,0.437,10:37:27,136.551,10:43:41,136.988,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
2026-08-14_132024.SH_T029,maker_132024_v01_queue,maker_queue_v1_0,buy_then_sell,0.437,10:37:27,136.551,10:43:41,136.988,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed,,
2026-08-14_132024.SH_T030,maker_132024_v01_priority,maker_priority_v1_37_candidate,sell_then_buy,0.238,10:43:41,136.988,10:44:11,136.75,causal_mode_in_review_required,unreviewed,unreviewed,,
2026-08-14_132024.SH_T030,maker_132024_v01_queue,maker_queue_v1_0,sell_then_buy,0.238,10:43:41,136.988,10:44:11,136.75,opening_inventory_or_cash_capacity_blocked,unreviewed,unreviewed,,
2026-08-14_132024.SH_T031,maker_132024_v01_priority,maker_priority_v1_37_candidate,buy_then_sell,0.15,10:44:11,136.75,10:44:16,136.9,economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed,,
