turn_id,market_date,code,direction,best_open_time,best_open_price,best_close_time,best_close_price,maximum_edge,maximum_matchable_hands,best_pair_tape_capacity_bonds,expected_open_side,expected_close_side,strategy_id,fill_mode,model_id,initial_inventory_bonds,maximum_inventory_bonds,inventory_before_open_strict_bonds,inventory_after_open_second_bonds,cash_before_open_strict,cash_after_open_second,opening_action_capacity_strict_bonds,opening_action_capacity_including_same_second_bonds,opening_action_capacity_low_bonds,opening_action_capacity_high_bonds,standard_or_tape_required_bonds,active_reaching_open_order_count,preexisting_reaching_open_order_count,active_reaching_open_orders,exact_capture_status,matching_open_fills,matching_close_fills,economic_pair_within_turn,economic_pair_nearby_120s,economic_pair_cross_turn_600s,preliminary_status,causal_mode_in_status,final_capture_class
2026-08-14_132026.SH_T001,2026-08-14,132026.SH,sell_then_buy,09:31:51,137.479,09:37:19,136.9,0.579,100,20,sell,buy,maker_v01_priority,priority,maker_priority_v1_38_candidate,1000.0,2000.0,1000.0,0.0,136800.0,274278.0,1000,0,0,1000,20,1,1,"[{""order_id"": 32, ""kind"": ""inventory_exit"", ""limit_price"": 137.478, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 1000.0, ""created_market_time"": ""09:31:27"", ""updated_market_time"": ""09:31:51"", ""status"": ""filled"", ""cancel_reason"": null, ""initial_queue_ahead_bonds"": 0.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": false}]",best_pair_open_leg_matched_only,"[{""order_id"": 32, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_38_candidate"", ""market_time"": ""09:31:51"", ""side"": ""sell"", ""price"": 137.478, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_sell"", ""inventory_after_bonds"": 0.0, ""reference_tick_id"": 77200, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]",[],null,null,"{""open_time"": ""09:31:51"", ""open_price"": 137.478, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:44:21"", ""close_price"": 136.102, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 1.376, ""gross_edge_cash"": 1376.0}",economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed
2026-08-14_132026.SH_T001,2026-08-14,132026.SH,sell_then_buy,09:31:51,137.479,09:37:19,136.9,0.579,100,20,sell,buy,maker_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,1000.0,1000.0,136800.0,136800.0,1000,1000,1000,1000,20,1,1,"[{""order_id"": 34, ""kind"": ""inventory_exit"", ""limit_price"": 137.479, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 0.0, ""created_market_time"": ""09:31:33"", ""updated_market_time"": ""09:31:51"", ""status"": ""cancelled"", ""cancel_reason"": ""maker_reprice"", ""initial_queue_ahead_bonds"": 1000.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": false}]",not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed
2026-08-14_132026.SH_T002,2026-08-14,132026.SH,sell_then_buy,09:37:30,136.9,09:40:57,136.003,0.897,114,380,sell,buy,maker_v01_priority,priority,maker_priority_v1_38_candidate,1000.0,2000.0,0.0,0.0,274278.0,274278.0,0,0,0,0,380,0,0,[],best_pair_close_leg_matched_only,[],"[{""order_id"": 142, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_38_candidate"", ""market_time"": ""09:40:57"", ""side"": ""buy"", ""price"": 136.004, ""quantity_bonds"": 380.0, ""fill_reason"": ""passive_buy"", ""inventory_after_bonds"": 1380.0, ""reference_tick_id"": 75642, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]","{""open_time"": ""09:43:45"", ""open_price"": 136.494, ""open_quantity_bonds"": 380.0, ""close_time"": ""09:44:21"", ""close_price"": 136.102, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 380.0, ""edge"": 0.392, ""gross_edge_cash"": 148.96}","{""open_time"": ""09:43:45"", ""open_price"": 136.494, ""open_quantity_bonds"": 380.0, ""close_time"": ""09:44:21"", ""close_price"": 136.102, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 380.0, ""edge"": 0.392, ""gross_edge_cash"": 148.96}","{""open_time"": ""09:31:51"", ""open_price"": 137.478, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:56:06"", ""close_price"": 136.101, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 1.377, ""gross_edge_cash"": 1377.0}",economic_pair_within_turn_needs_overlap_review,unreviewed,unreviewed
2026-08-14_132026.SH_T002,2026-08-14,132026.SH,sell_then_buy,09:37:30,136.9,09:40:57,136.003,0.897,114,380,sell,buy,maker_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,1000.0,1000.0,136800.0,136800.0,1000,1000,1000,1000,380,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,causal_mode_in_review_required,unreviewed,unreviewed
2026-08-14_132026.SH_T003,2026-08-14,132026.SH,buy_then_sell,09:40:57,136.003,09:47:50,136.6,0.597,200,380,buy,sell,maker_v01_priority,priority,maker_priority_v1_38_candidate,1000.0,2000.0,1000.0,1380.0,137441.0,85759.48,1000,620,620,1000,380,1,1,"[{""order_id"": 142, ""kind"": ""low_bid_reversion"", ""limit_price"": 136.004, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 1000.0, ""created_market_time"": ""09:40:33"", ""updated_market_time"": ""09:41:15"", ""status"": ""filled"", ""cancel_reason"": null, ""initial_queue_ahead_bonds"": 0.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": false}]",best_pair_both_legs_matched,"[{""order_id"": 142, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_38_candidate"", ""market_time"": ""09:40:57"", ""side"": ""buy"", ""price"": 136.004, ""quantity_bonds"": 380.0, ""fill_reason"": ""passive_buy"", ""inventory_after_bonds"": 1380.0, ""reference_tick_id"": 75642, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]","[{""order_id"": 188, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_38_candidate"", ""market_time"": ""09:47:48"", ""side"": ""sell"", ""price"": 136.597, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_sell"", ""inventory_after_bonds"": 1000.0, ""reference_tick_id"": 75924, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]","{""open_time"": ""09:44:21"", ""open_price"": 136.102, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:47:48"", ""close_price"": 136.597, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 0.495, ""gross_edge_cash"": 495.0}","{""open_time"": ""09:44:21"", ""open_price"": 136.102, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:47:48"", ""close_price"": 136.597, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 0.495, ""gross_edge_cash"": 495.0}","{""open_time"": ""09:44:21"", ""open_price"": 136.102, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:47:48"", ""close_price"": 136.597, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 0.495, ""gross_edge_cash"": 495.0}",exact_best_pair_capture,unreviewed,unreviewed
2026-08-14_132026.SH_T003,2026-08-14,132026.SH,buy_then_sell,09:40:57,136.003,09:47:50,136.6,0.597,200,380,buy,sell,maker_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,1000.0,1000.0,136800.0,136800.0,1000,1000,1000,1000,380,1,1,"[{""order_id"": 143, ""kind"": ""low_bid_reversion"", ""limit_price"": 136.003, ""quantity_bonds"": 1000.0, ""filled_quantity_bonds"": 140.0, ""created_market_time"": ""09:40:33"", ""updated_market_time"": ""09:41:21"", ""status"": ""cancelled"", ""cancel_reason"": ""maker_reprice"", ""initial_queue_ahead_bonds"": 2000.0, ""final_queue_ahead_bonds"": 0.0, ""created_same_second_as_tape"": false}]",not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,preexisting_reaching_order_needs_execution_audit,unreviewed,unreviewed
2026-08-14_132026.SH_T004,2026-08-14,132026.SH,sell_then_buy,09:47:50,136.6,09:48:13,136.481,0.119,200,1000,sell,buy,maker_v01_priority,priority,maker_priority_v1_38_candidate,1000.0,2000.0,1000.0,1000.0,138427.44,138427.44,1000,1000,1000,1000,1000,0,0,[],best_pair_open_leg_matched_only,"[{""order_id"": 188, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_38_candidate"", ""market_time"": ""09:47:48"", ""side"": ""sell"", ""price"": 136.597, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_sell"", ""inventory_after_bonds"": 1000.0, ""reference_tick_id"": 75924, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]",[],null,null,"{""open_time"": ""09:47:48"", ""open_price"": 136.597, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:56:06"", ""close_price"": 136.101, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 0.496, ""gross_edge_cash"": 496.0}",economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed
2026-08-14_132026.SH_T004,2026-08-14,132026.SH,sell_then_buy,09:47:50,136.6,09:48:13,136.481,0.119,200,1000,sell,buy,maker_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,2000.0,2000.0,370.44,370.44,2000,2000,2000,2000,1000,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,causal_mode_in_review_required,unreviewed,unreviewed
2026-08-14_132026.SH_T005,2026-08-14,132026.SH,sell_then_buy,09:55:15,136.363,09:56:05,136.101,0.262,138,1000,sell,buy,maker_v01_priority,priority,maker_priority_v1_38_candidate,1000.0,2000.0,1000.0,1000.0,138427.44,138427.44,1000,1000,1000,1000,1000,0,0,[],best_pair_close_leg_matched_only,[],"[{""order_id"": 193, ""strategy_id"": ""maker_v01_priority"", ""model_id"": ""maker_priority_v1_38_candidate"", ""market_time"": ""09:56:06"", ""side"": ""buy"", ""price"": 136.101, ""quantity_bonds"": 1000.0, ""fill_reason"": ""passive_buy"", ""inventory_after_bonds"": 2000.0, ""reference_tick_id"": 76243, ""crossed_book_residual_price"": 0.0, ""crossed_book_residual_bonds"": 0.0}]",null,null,"{""open_time"": ""09:47:48"", ""open_price"": 136.597, ""open_quantity_bonds"": 1000.0, ""close_time"": ""09:56:06"", ""close_price"": 136.101, ""close_quantity_bonds"": 1000.0, ""matched_quantity_bonds"": 1000.0, ""edge"": 0.496, ""gross_edge_cash"": 496.0}",economic_pair_cross_turn_600s_needs_path_review,unreviewed,unreviewed
2026-08-14_132026.SH_T005,2026-08-14,132026.SH,sell_then_buy,09:55:15,136.363,09:56:05,136.101,0.262,138,1000,sell,buy,maker_v01_queue,queue,maker_queue_v1_0,1000.0,2000.0,2000.0,2000.0,370.44,370.44,2000,2000,2000,2000,1000,0,0,[],not_exactly_matched_needs_causal_execution_audit,[],[],null,null,null,causal_mode_in_review_required,unreviewed,unreviewed
